resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
22521,918,817,9,3.0,20,4.0,4,4,24.0,55,+37.237,5979856.0,50.0,1.0,1:44.496,191.341,1
22522,918,18,1,22.0,6,5.0,5,5,20.0,55,+1:00.334,6002953.0,47.0,9.0,1:46.739,187.320,1
22523,918,807,10,27.0,12,6.0,6,6,16.0,55,+1:02.148,6004767.0,47.0,7.0,1:45.777,189.024,1
22524,918,815,10,11.0,11,7.0,7,7,12.0,55,+1:11.060,6013679.0,49.0,8.0,1:45.808,188.968,1
22525,918,20,9,1.0,19,8.0,8,8,8.0,55,+1:12.045,6014664.0,51.0,3.0,1:45.552,189.427,1
22526,918,4,6,14.0,8,9.0,9,9,4.0,55,+1:25.813,6028432.0,45.0,12.0,1:47.424,186.126,1
22527,918,8,6,7.0,7,10.0,10,10,2.0,55,+1:27.820,6030439.0,46.0,16.0,1:47.736,185.586,1
22528,918,825,1,20.0,9,11.0,11,11,0.0,55,+1:30.376,6032995.0,37.0,10.0,1:46.824,187.171,1
22529,918,818,5,25.0,10,12.0,12,12,0.0,55,+1:31.947,6034566.0,50.0,5.0,1:45.686,189.186,1
22538,926,1,131,44.0,1,1.0,1,1,25.0,58,1:31:54.067,5514067.0,50.0,1.0,1:30.945,209.915,1
22539,926,3,131,6.0,2,2.0,2,2,18.0,58,+1.360,5515427.0,47.0,2.0,1:31.092,209.577,1
22540,926,20,6,5.0,4,3.0,3,3,15.0,58,+34.523,5548590.0,52.0,4.0,1:31.457,208.740,1
22541,926,13,3,19.0,3,4.0,4,4,12.0,58,+38.196,5552263.0,50.0,6.0,1:31.719,208.144,1
22542,926,831,15,12.0,10,5.0,5,5,10.0,58,+1:35.149,5609216.0,46.0,9.0,1:32.612,206.137,1
22556,927,20,6,5.0,2,1.0,1,1,25.0,56,1:41:05.793,6065793.0,46.0,3.0,1:43.648,193.501,1
22557,927,1,131,44.0,1,2.0,2,2,18.0,56,+8.569,6074362.0,45.0,2.0,1:43.125,193.501,1
22558,927,3,131,6.0,3,3.0,3,3,15.0,56,+12.310,6078103.0,43.0,1.0,1:42.062,195.516,1
22559,927,8,6,7.0,11,4.0,4,4,12.0,56,+53.822,6119615.0,40.0,7.0,1:44.124,191.644,1
22560,927,822,3,77.0,8,5.0,5,5,10.0,56,+1:10.409,6136202.0,42.0,6.0,1:44.088,191.710,1
22561,927,13,3,19.0,7,6.0,6,6,8.0,56,+1:13.586,6139379.0,40.0,5.0,1:43.990,191.891,1
22562,927,830,5,33.0,6,7.0,7,7,6.0,56,+1:37.762,6163555.0,42.0,9.0,1:44.579,190.810,1
22576,928,1,131,44.0,1,1.0,1,1,25.0,56,1:39:42.008,5982008.0,31.0,1.0,1:42.208,191.996,1
22577,928,3,131,6.0,2,2.0,2,2,18.0,56,+0.714,5982722.0,39.0,2.0,1:42.565,191.328,1
22578,928,20,6,5.0,3,3.0,3,3,15.0,56,+2.988,5984996.0,15.0,5.0,1:43.018,190.487,1
22579,928,8,6,7.0,6,4.0,4,4,12.0,56,+3.835,5985843.0,48.0,6.0,1:43.026,190.472,1
22580,928,13,3,19.0,4,5.0,5,5,10.0,56,+8.544,5990552.0,37.0,4.0,1:42.734,191.013,1
22581,928,822,3,77.0,5,6.0,6,6,8.0,56,+9.885,5991893.0,37.0,7.0,1:43.051,190.426,1
22582,928,154,208,8.0,8,7.0,7,7,6.0,56,+19.008,6001016.0,34.0,8.0,1:43.134,190.272,1
22583,928,831,15,12.0,9,8.0,8,8,4.0,56,+22.625,6004633.0,46.0,12.0,1:43.692,189.248,1
22584,928,817,9,3.0,7,9.0,9,9,2.0,56,+32.117,6014125.0,46.0,9.0,1:43.245,190.068,1
22596,929,1,131,44.0,1,1.0,1,1,25.0,57,1:35:05.809,5705809.0,38.0,5.0,1:37.857,199.098,1
22597,929,8,6,7.0,4,2.0,2,2,18.0,57,+3.380,5709189.0,42.0,1.0,1:36.311,202.294,1
22598,929,3,131,6.0,3,3.0,3,3,15.0,57,+6.033,5711842.0,36.0,3.0,1:37.326,200.184,1
22599,929,822,3,77.0,5,4.0,4,4,12.0,57,+42.957,5748766.0,16.0,6.0,1:38.095,198.615,1
22600,929,20,6,5.0,2,5.0,5,5,10.0,57,+43.989,5749798.0,38.0,2.0,1:36.624,201.639,1
22601,929,817,9,3.0,7,6.0,6,6,8.0,57,+1:01.751,5767560.0,53.0,12.0,1:38.948,196.903,1
22602,929,154,208,8.0,10,7.0,7,7,6.0,57,+1:24.763,5790572.0,34.0,15.0,1:39.161,196.480,1
22616,930,3,131,6.0,1,1.0,1,1,25.0,66,1:41:12.555,6072555.0,53.0,2.0,1:29.109,188.061,1
22617,930,1,131,44.0,2,2.0,2,2,18.0,66,+17.551,6090106.0,54.0,1.0,1:28.270,189.849,1
22618,930,20,6,5.0,3,3.0,3,3,15.0,66,+45.342,6117897.0,61.0,6.0,1:30.737,184.687,1
22619,930,822,3,77.0,4,4.0,4,4,12.0,66,+59.217,6131772.0,44.0,5.0,1:30.711,184.740,1
22620,930,8,6,7.0,7,5.0,5,5,10.0,66,+1:00.002,6132557.0,47.0,3.0,1:29.931,186.342,1
22621,930,13,3,19.0,9,6.0,6,6,8.0,66,+1:21.314,6153869.0,51.0,4.0,1:30.374,185.429,1
22636,931,3,131,6.0,2,1.0,1,1,25.0,78,1:49:18.420,6558420.0,76.0,2.0,1:18.599,152.841,1
22637,931,20,6,5.0,3,2.0,2,2,18.0,78,+4.486,6562906.0,75.0,4.0,1:18.854,152.347,1
22638,931,1,131,44.0,1,3.0,3,3,15.0,78,+6.053,6564473.0,42.0,3.0,1:18.676,152.692,1
22639,931,826,9,26.0,5,4.0,4,4,12.0,78,+11.965,6570385.0,75.0,7.0,1:19.130,151.815,1
22640,931,817,9,3.0,4,5.0,5,5,10.0,78,+13.608,6572028.0,74.0,1.0,1:18.063,153.891,1
22641,931,8,6,7.0,6,6.0,6,6,8.0,78,+14.345,6572765.0,74.0,10.0,1:19.651,150.822,1
22642,931,815,10,11.0,7,7.0,7,7,6.0,78,+15.013,6573433.0,74.0,11.0,1:19.657,150.811,1
22643,931,18,1,22.0,10,8.0,8,8,4.0,78,+16.063,6574483.0,76.0,9.0,1:19.490,151.128,1
22644,931,831,15,12.0,14,9.0,9,9,2.0,78,+23.626,6582046.0,76.0,15.0,1:20.017,150.133,1
22645,931,832,5,55.0,0,10.0,10,10,1.0,78,+25.056,6583476.0,48.0,13.0,1:19.816,150.511,1
22646,931,807,10,27.0,11,11.0,11,11,0.0,78,+26.232,6584652.0,46.0,14.0,1:19.921,150.313,1
22647,931,154,208,8.0,15,12.0,12,12,0.0,78,+28.415,6586835.0,40.0,17.0,1:20.483,149.263,1
22648,931,828,15,9.0,17,13.0,13,13,0.0,78,+31.159,6589579.0,75.0,8.0,1:19.285,151.519,1
